user_id	avg_pay_amt	avg_pay_amt_weekdays
360	<29	<29
361	[29,36)	<29
362	<29	<29
363	[36,49)	[36,49)
364	>=65	>=65
365	[36,49)	[36,49)
366	[36,49)	[36,49)
367	[29,36)	[36,49)
368	[49,65)	[49,65)
369	[29,36)	<29
370	[36,49)	[36,49)
371	<29	<29
372	[36,49)	未知
373	>=65	>=65
374	<29	[29,36)
375	[36,49)	[36,49)
376	<29	<29
377	<29	<29
378	[49,65)	[49,65)
379	>=65	>=65
380	[36,49)	未知
381	[29,36)	[29,36)
382	<29	[29,36)
383	[29,36)	[29,36)
384	[36,49)	[36,49)
385	[29,36)	[29,36)
386	[49,65)	[49,65)
387	>=65	>=65
388	[36,49)	[36,49)
389	[49,65)	[49,65)
390	<29	<29
391	>=65	>=65
392	>=65	>=65
393	[29,36)	[29,36)
394	[29,36)	[29,36)
395	>=65	>=65
396	>=65	>=65
397	>=65	>=65
398	[29,36)	[29,36)
399	<29	<29
400	>=65	[49,65)
401	<29	<29
402	[36,49)	[29,36)
403	<29	<29
404	[49,65)	[49,65)
405	[49,65)	[49,65)
406	[36,49)	[36,49)
407	>=65	>=65
408	<29	<29
409	<29	<29
410	[49,65)	[49,65)
411	<29	<29
412	[29,36)	[36,49)
413	<29	[29,36)
414	[36,49)	[36,49)
415	[29,36)	[29,36)
416	[49,65)	[36,49)
417	[29,36)	[29,36)
418	[36,49)	[36,49)
419	[36,49)	[36,49)
420	<29	<29
421	>=65	>=65
422	[36,49)	[36,49)
423	>=65	>=65
424	>=65	>=65
425	<29	<29
426	[49,65)	>=65
427	<29	<29
428	<29	<29
429	[36,49)	[36,49)
430	[29,36)	<29
431	[49,65)	[49,65)
432	<29	<29
433	<29	<29
434	>=65	>=65
435	>=65	>=65
436	<29	<29
437	<29	<29
438	[29,36)	[29,36)
439	<29	<29
440	[49,65)	[36,49)
441	[49,65)	[36,49)
442	<29	<29
443	[49,65)	[36,49)
444	<29	<29
445	<29	<29
446	[49,65)	[49,65)
447	[29,36)	[29,36)
448	[36,49)	[36,49)
449	<29	<29
450	<29	<29
451	<29	<29
452	[29,36)	[29,36)
453	[36,49)	[36,49)
454	>=65	[49,65)
455	[36,49)	[29,36)
456	<29	<29
457	<29	<29
458	[49,65)	未知
459	>=65	>=65
460	[36,49)	[36,49)
461	[36,49)	[36,49)
462	[36,49)	[36,49)
463	>=65	>=65
464	[49,65)	[49,65)
465	>=65	>=65
466	>=65	[36,49)
467	>=65	>=65
468	[49,65)	[49,65)
469	<29	<29
470	<29	<29
471	<29	<29
472	[49,65)	[49,65)
473	<29	<29
474	<29	<29
475	<29	<29
476	[29,36)	[29,36)
477	<29	<29
478	[29,36)	[29,36)
479	>=65	>=65
480	[36,49)	[36,49)
481	[36,49)	[36,49)
482	>=65	>=65
483	[49,65)	[49,65)
484	<29	[29,36)
485	[29,36)	[36,49)
486	>=65	>=65
487	[36,49)	[36,49)
488	<29	<29
489	>=65	[49,65)
490	[36,49)	[36,49)
491	[29,36)	<29
492	<29	<29
493	<29	<29
494	>=65	>=65
495	[36,49)	[36,49)
496	[29,36)	[29,36)
497	[36,49)	[36,49)
498	[36,49)	[36,49)
499	[49,65)	[49,65)
500	<29	<29
501	[49,65)	[49,65)
502	<29	[29,36)
503	[49,65)	[49,65)
504	>=65	>=65
505	[29,36)	[29,36)
506	>=65	>=65
507	[36,49)	[36,49)
508	<29	<29
509	>=65	>=65
510	[49,65)	<29
511	[36,49)	[29,36)
512	[29,36)	[29,36)
513	[29,36)	[29,36)
514	[36,49)	[36,49)
515	>=65	>=65
516	[49,65)	[49,65)
517	[49,65)	[49,65)
518	[29,36)	[29,36)
519	<29	[29,36)
520	<29	<29
521	[36,49)	[36,49)
522	[29,36)	[29,36)
523	[29,36)	[29,36)
524	[29,36)	[29,36)
525	<29	<29
526	<29	<29
527	[49,65)	[49,65)
528	<29	<29
529	<29	<29
530	[29,36)	<29
531	>=65	>=65
532	[36,49)	未知
533	<29	<29
534	[49,65)	[49,65)
535	<29	<29
536	[36,49)	[36,49)
537	[29,36)	[29,36)
538	[36,49)	[36,49)
539	<29	<29
540	<29	<29
541	[29,36)	[29,36)
542	[29,36)	[29,36)
543	[49,65)	[49,65)
544	>=65	>=65
545	[29,36)	[36,49)
546	[36,49)	[36,49)
547	[29,36)	[36,49)
548	[49,65)	[49,65)
549	[29,36)	[29,36)
550	<29	<29
551	[36,49)	[36,49)
552	>=65	>=65
553	<29	<29
554	[49,65)	[49,65)
555	[36,49)	[36,49)
556	>=65	>=65
557	>=65	[49,65)
558	[29,36)	[29,36)
559	[49,65)	[49,65)
560	[36,49)	[36,49)
561	<29	<29
562	>=65	>=65
563	[49,65)	[49,65)
564	[49,65)	[36,49)
565	>=65	>=65
566	[36,49)	[36,49)
567	[36,49)	[36,49)
568	[49,65)	[49,65)
569	<29	<29
570	<29	<29
571	[49,65)	[49,65)
572	[36,49)	未知
573	[29,36)	[29,36)
574	[29,36)	[36,49)
575	>=65	>=65
576	[36,49)	[36,49)
577	<29	<29
578	>=65	[49,65)
579	[49,65)	[49,65)
580	>=65	>=65
581	>=65	>=65
582	[29,36)	[29,36)
583	[36,49)	[36,49)
584	>=65	>=65
585	[49,65)	未知
586	[29,36)	[29,36)
587	[29,36)	[29,36)
588	[49,65)	[49,65)
589	[36,49)	未知
590	[36,49)	[29,36)
591	[49,65)	[49,65)
592	<29	<29
593	>=65	>=65
594	[49,65)	未知
595	>=65	>=65
596	<29	<29
597	[49,65)	[49,65)
598	<29	<29
599	[36,49)	[36,49)
600	[29,36)	[29,36)
601	[36,49)	未知
602	>=65	>=65
603	>=65	>=65
604	[29,36)	[29,36)
605	[36,49)	[36,49)
606	>=65	未知
607	[49,65)	[49,65)
608	<29	<29
609	[36,49)	[36,49)
610	>=65	>=65
611	>=65	>=65
612	>=65	>=65
613	[29,36)	[29,36)
614	>=65	>=65
615	[36,49)	未知
616	>=65	>=65
617	[49,65)	[49,65)
618	<29	<29
619	[29,36)	[29,36)
620	[36,49)	[36,49)
621	<29	<29
622	[49,65)	[49,65)
623	[36,49)	[36,49)
624	>=65	>=65
625	[49,65)	未知
626	>=65	>=65
627	[36,49)	[36,49)
628	[36,49)	[36,49)
629	[29,36)	[29,36)
630	[49,65)	[49,65)
631	[49,65)	[49,65)
632	<29	<29
633	>=65	>=65
634	<29	<29
635	[36,49)	[36,49)
636	[29,36)	[29,36)
637	[49,65)	[49,65)
638	<29	<29
639	[36,49)	[36,49)
640	[29,36)	<29
641	[36,49)	[36,49)
642	[36,49)	[36,49)
643	<29	<29
644	[29,36)	[29,36)
645	[29,36)	[29,36)
646	[29,36)	[29,36)
647	>=65	>=65
648	[36,49)	[36,49)
649	[36,49)	[36,49)
650	<29	<29
651	[36,49)	未知
652	[49,65)	[49,65)
653	[49,65)	[49,65)
654	[49,65)	[49,65)
655	[36,49)	[36,49)
656	<29	<29
657	[29,36)	[36,49)
658	[29,36)	[29,36)
659	>=65	>=65
660	[36,49)	[36,49)
661	[49,65)	[49,65)
662	<29	<29
663	[49,65)	>=65
664	<29	<29
665	<29	<29
666	>=65	>=65
667	[36,49)	[36,49)
668	[36,49)	[36,49)
669	[29,36)	<29
670	[49,65)	[49,65)
671	>=65	[49,65)
672	>=65	>=65
673	<29	<29
674	[36,49)	[36,49)
675	[49,65)	[49,65)
676	[49,65)	未知
677	[36,49)	[36,49)
678	[49,65)	未知
679	>=65	>=65
680	[49,65)	>=65
681	[36,49)	[36,49)
682	>=65	>=65
683	<29	<29
684	[49,65)	[49,65)
685	[36,49)	[36,49)
686	[36,49)	未知
687	<29	<29
688	[29,36)	[29,36)
689	[36,49)	[36,49)
690	>=65	>=65
691	[49,65)	[49,65)
692	>=65	>=65
693	[36,49)	[36,49)
694	<29	<29
695	[49,65)	[49,65)
696	[36,49)	未知
697	>=65	>=65
698	[29,36)	[29,36)
699	<29	<29
700	[36,49)	[36,49)
701	[29,36)	<29
702	[29,36)	[29,36)
703	<29	<29
704	[36,49)	[36,49)
705	[29,36)	[29,36)
706	<29	<29
707	[36,49)	[29,36)
708	<29	<29
709	>=65	>=65
710	[49,65)	[49,65)
711	>=65	>=65
712	[29,36)	[29,36)
713	<29	<29
714	[49,65)	[49,65)
715	[36,49)	[29,36)
716	[29,36)	<29
717	<29	<29
718	>=65	>=65
719	<29	<29
720	<29	<29
721	[36,49)	[36,49)
722	[49,65)	[49,65)
723	>=65	>=65
724	[49,65)	[49,65)
725	>=65	>=65
726	[36,49)	[36,49)
727	>=65	[49,65)
728	[49,65)	[49,65)
729	>=65	>=65
730	[49,65)	[49,65)
731	<29	<29
732	>=65	>=65
733	[29,36)	[29,36)
734	[49,65)	[49,65)
735	>=65	>=65
736	[36,49)	[36,49)
737	<29	<29
738	[49,65)	未知
739	[36,49)	[36,49)
740	<29	<29
741	[36,49)	[36,49)
742	[36,49)	[36,49)
743	<29	<29
744	<29	<29
745	<29	<29
746	[36,49)	未知
747	[49,65)	未知
748	>=65	>=65
749	[49,65)	[49,65)
750	[29,36)	[29,36)
751	[49,65)	[49,65)
752	[36,49)	[36,49)
753	[49,65)	[49,65)
754	[49,65)	[49,65)
755	[29,36)	[29,36)
756	<29	<29
757	<29	<29
758	[49,65)	[49,65)
759	[36,49)	[36,49)
760	<29	<29
761	<29	<29
762	[49,65)	[36,49)
763	>=65	>=65
764	[49,65)	[49,65)
765	<29	<29
766	[29,36)	[29,36)
767	[36,49)	[36,49)
768	[29,36)	<29
769	[49,65)	[49,65)
770	[36,49)	未知
771	[49,65)	[49,65)
772	<29	<29
773	>=65	>=65
774	[36,49)	未知
775	<29	<29
776	<29	<29
777	[49,65)	>=65
778	[36,49)	[36,49)
779	[36,49)	未知
780	>=65	>=65
781	<29	<29
782	[36,49)	[36,49)
783	[29,36)	[29,36)
784	[29,36)	[29,36)
785	<29	<29
786	[36,49)	[36,49)
787	[36,49)	[36,49)
788	[29,36)	[29,36)
789	>=65	>=65
790	[36,49)	[36,49)
791	<29	<29
792	[29,36)	[29,36)
793	<29	<29
794	[29,36)	[29,36)
795	<29	<29
796	[36,49)	[36,49)
797	[29,36)	[29,36)
798	[29,36)	[29,36)
799	[36,49)	[36,49)
800	<29	<29
801	[49,65)	[49,65)
802	[36,49)	[36,49)
803	[49,65)	[49,65)
804	[36,49)	[36,49)
805	[36,49)	[36,49)
806	<29	<29
807	[29,36)	<29
808	[49,65)	[36,49)
809	[36,49)	未知
810	<29	<29
811	>=65	>=65
812	[36,49)	[36,49)
813	[29,36)	[29,36)
814	>=65	>=65
815	<29	<29
816	[29,36)	[29,36)
817	[36,49)	[36,49)
818	[49,65)	[49,65)
819	[36,49)	[29,36)
820	[36,49)	[36,49)
821	[29,36)	[29,36)
822	[29,36)	[29,36)
823	>=65	>=65
824	[36,49)	未知
825	[36,49)	[29,36)
826	[49,65)	未知
827	<29	<29
828	<29	<29
829	[36,49)	[36,49)
830	<29	<29
831	[49,65)	[49,65)
832	>=65	>=65
833	>=65	>=65
834	[49,65)	未知
835	[36,49)	[36,49)
836	>=65	>=65
837	[36,49)	未知
838	<29	<29
839	[36,49)	[36,49)
840	[29,36)	[29,36)
841	>=65	>=65
842	<29	<29
843	<29	<29
844	<29	<29
845	[49,65)	[49,65)
846	[49,65)	[49,65)
847	<29	<29
848	[49,65)	[49,65)
849	[36,49)	[36,49)
850	[29,36)	[29,36)
851	>=65	>=65
852	[29,36)	[29,36)
853	[29,36)	[29,36)
854	>=65	>=65
855	[49,65)	[49,65)
856	[36,49)	[36,49)
857	<29	<29
858	[49,65)	[49,65)
859	[29,36)	[29,36)
860	<29	<29
861	[49,65)	[49,65)
862	<29	<29
863	>=65	>=65
864	[49,65)	[49,65)
865	[29,36)	[29,36)
866	>=65	>=65
867	[36,49)	[36,49)
868	[49,65)	[49,65)
869	<29	<29
870	[49,65)	[49,65)
871	>=65	>=65
872	[29,36)	[29,36)
873	[36,49)	[36,49)
874	[29,36)	[29,36)
875	<29	<29
876	[36,49)	未知
877	[49,65)	[49,65)
878	[49,65)	[49,65)
879	[36,49)	[36,49)
880	>=65	>=65
881	<29	<29
882	[36,49)	[36,49)
883	[36,49)	[36,49)
884	[36,49)	[36,49)
885	>=65	[49,65)
886	[36,49)	未知
887	>=65	>=65
888	<29	[29,36)
889	[36,49)	[36,49)
890	>=65	>=65
891	<29	<29
892	<29	<29
893	[36,49)	未知
894	[36,49)	[36,49)
895	[36,49)	未知
896	>=65	>=65
897	[36,49)	[36,49)
898	[49,65)	[49,65)
899	[49,65)	[49,65)
900	[36,49)	未知
901	[49,65)	未知
902	<29	<29
903	[49,65)	[49,65)
904	[49,65)	[49,65)
905	>=65	[49,65)
906	>=65	[49,65)
907	<29	<29
908	<29	<29
909	[29,36)	[29,36)
910	>=65	>=65
911	[29,36)	[29,36)
912	[29,36)	[29,36)
913	[49,65)	[49,65)
914	>=65	[49,65)
915	[36,49)	[36,49)
916	[29,36)	[29,36)
917	>=65	>=65
918	[36,49)	[36,49)
919	<29	<29
920	[36,49)	[36,49)
921	>=65	>=65
922	[36,49)	[36,49)
923	>=65	>=65
924	[49,65)	[49,65)
925	>=65	[49,65)
926	[29,36)	[29,36)
927	>=65	>=65
928	<29	<29
929	[36,49)	[36,49)
930	<29	<29
931	[29,36)	[29,36)
932	<29	<29
933	<29	<29
934	[29,36)	[29,36)
935	[36,49)	[36,49)
936	<29	<29
937	>=65	>=65
938	[49,65)	[49,65)
939	[36,49)	[36,49)
940	[29,36)	[36,49)
941	<29	<29
942	[36,49)	[36,49)
943	[29,36)	[29,36)
944	[29,36)	[29,36)
945	[49,65)	[49,65)
946	[29,36)	[29,36)
947	<29	<29
948	[29,36)	[36,49)
949	[49,65)	[49,65)
950	[49,65)	[49,65)
951	>=65	>=65
952	>=65	>=65
953	>=65	>=65
954	[29,36)	[29,36)
955	>=65	>=65
956	<29	<29
957	<29	<29
958	<29	<29
959	<29	<29
960	[29,36)	[29,36)
961	[29,36)	[29,36)
962	[49,65)	[49,65)
963	[49,65)	[49,65)
964	[29,36)	<29
965	[29,36)	[29,36)
966	>=65	>=65
967	>=65	>=65
968	[49,65)	未知
969	[36,49)	[36,49)
970	<29	<29
971	[36,49)	[36,49)
972	[36,49)	[36,49)
973	[36,49)	[36,49)
974	[49,65)	[49,65)
975	>=65	>=65
976	[29,36)	[29,36)
977	<29	<29
978	[29,36)	[29,36)
979	[29,36)	[29,36)
980	[49,65)	[49,65)
981	[49,65)	未知
982	>=65	>=65
983	<29	<29
984	<29	<29
985	[36,49)	未知
986	[36,49)	[29,36)
987	[36,49)	[29,36)
988	[49,65)	[49,65)
989	[49,65)	[49,65)
990	<29	<29
991	[49,65)	[49,65)
992	>=65	>=65
993	[36,49)	[36,49)
994	[36,49)	[36,49)
995	[29,36)	[29,36)
996	<29	<29
997	<29	<29
998	<29	[29,36)
999	<29	<29
1000	<29	<29
1001	[36,49)	[36,49)
1002	<29	<29
1003	<29	<29
1004	[29,36)	<29
1005	[49,65)	[49,65)
1006	>=65	[36,49)
1007	[49,65)	[49,65)
1008	[36,49)	[36,49)
1009	[36,49)	[36,49)
1010	<29	<29
1011	[49,65)	[49,65)
1012	>=65	>=65
1013	>=65	>=65
1014	>=65	[49,65)
1015	[49,65)	[49,65)
1016	>=65	[49,65)
1017	[36,49)	[36,49)
1018	[36,49)	未知
1019	<29	<29
1020	<29	<29
1021	<29	<29
1022	[36,49)	未知
1023	[36,49)	[36,49)
1024	[36,49)	未知
1025	>=65	>=65
1026	[49,65)	[49,65)
1027	[36,49)	[36,49)
1028	<29	<29
1029	[36,49)	[36,49)
1030	[29,36)	[29,36)
1031	<29	<29
1032	[36,49)	[29,36)
1033	<29	<29
1034	[29,36)	[29,36)
1035	[29,36)	[29,36)
1036	[36,49)	未知
1037	>=65	>=65
1038	<29	<29
1039	[29,36)	[29,36)
1040	>=65	>=65
1041	[36,49)	[29,36)
1042	<29	<29
1043	[29,36)	[29,36)
1044	[36,49)	[29,36)
1045	[49,65)	[49,65)
1046	[49,65)	[49,65)
1047	[49,65)	[49,65)
1048	[49,65)	[49,65)
1049	<29	<29
1050	[49,65)	[49,65)
1051	>=65	>=65
1052	>=65	>=65
1053	[29,36)	[29,36)
1054	>=65	>=65
1055	<29	<29
1056	<29	<29
1057	[49,65)	[49,65)
1058	>=65	>=65
1059	<29	<29
1060	[36,49)	未知
1061	<29	<29
1062	[29,36)	[36,49)
1063	[36,49)	[36,49)
1064	[36,49)	[36,49)
1065	<29	<29
1066	[49,65)	[49,65)
1067	[36,49)	[36,49)
1068	[36,49)	[36,49)
1069	[49,65)	[49,65)
1070	[29,36)	[29,36)
1071	[36,49)	[36,49)
1072	[36,49)	[36,49)
1073	>=65	>=65
1074	[36,49)	[36,49)
1075	<29	[29,36)
1076	[49,65)	[49,65)
1077	>=65	>=65
1078	>=65	>=65
1079	[49,65)	未知
1080	>=65	>=65
1081	[49,65)	[36,49)
1082	[49,65)	未知
1083	<29	<29
1084	[29,36)	[29,36)
1085	>=65	>=65
1086	[49,65)	[36,49)
1087	>=65	>=65
1088	<29	<29
1089	<29	<29
1090	<29	<29
1091	<29	<29
1092	[29,36)	[29,36)
1093	<29	<29
1094	<29	<29
1095	[49,65)	未知
1096	>=65	>=65
1097	[49,65)	[49,65)
1098	<29	<29
1099	>=65	[49,65)
1100	[36,49)	未知
1101	<29	<29
1102	<29	<29
1103	[36,49)	[36,49)
1104	[36,49)	[36,49)
1105	<29	<29
1106	<29	<29
1107	>=65	>=65
1108	[49,65)	[49,65)
1109	>=65	>=65
1110	>=65	>=65
1111	[29,36)	[29,36)
1112	>=65	>=65
1113	[29,36)	[29,36)
1114	<29	<29
1115	[36,49)	[36,49)
1116	>=65	>=65
1117	[49,65)	[49,65)
1118	[29,36)	[29,36)
1119	<29	<29
1120	>=65	>=65
1121	<29	<29
1122	>=65	[49,65)
1123	<29	<29
1124	<29	<29
1125	[49,65)	[49,65)
1126	[36,49)	<29
1127	>=65	>=65
1128	[49,65)	[49,65)
1129	[29,36)	[29,36)
1130	>=65	>=65
1131	>=65	>=65
1132	[49,65)	[36,49)
1133	[36,49)	未知
1134	>=65	>=65
1135	[49,65)	[49,65)
1136	[36,49)	[36,49)
1137	<29	<29
1138	[29,36)	[36,49)
1139	>=65	>=65
1140	>=65	>=65
1141	[36,49)	[36,49)
1142	[49,65)	未知
1143	[29,36)	[29,36)
1144	[29,36)	[29,36)
1145	[49,65)	[49,65)
1146	<29	<29
1147	<29	<29
1148	>=65	>=65
1149	[36,49)	[36,49)
1150	[36,49)	[36,49)
1151	<29	<29
1152	[49,65)	[49,65)
1153	<29	<29
1154	[49,65)	[49,65)
1155	<29	<29
1156	[49,65)	[49,65)
1157	>=65	>=65
1158	[36,49)	[36,49)
1159	<29	<29
1160	>=65	>=65
1161	<29	<29
1162	[29,36)	[29,36)
1163	<29	<29
1164	<29	<29
1165	<29	<29
1166	[49,65)	[36,49)
1167	[49,65)	[49,65)
1168	[49,65)	[36,49)
1169	[49,65)	未知
1170	[49,65)	[36,49)
1171	[36,49)	[36,49)
1172	[49,65)	[49,65)
1173	[49,65)	[49,65)
1174	[29,36)	[29,36)
1175	[36,49)	未知
1176	>=65	>=65
1177	[49,65)	[49,65)
1178	<29	<29
